country	code	ln_hla_het	hla_het	ln_mort40	ln_le40	ln_le50	ln_le60	ln_le70	ln_le80	ln_le90	ln_le00	ln_le10	europe	asia	africa	americas	oceania	frac_eur	frac_me	frac_easia	frac_africa	frac_am	frac_oc	aa_ln_atd	aa_atd	aa_mdist	aa_mdist_sqr	aa_lanim	aa_lpd1	ln_frac	ln_arable	ln_suitavg	ln_abslat	aa_pdiv	malfal	tropical	desert	distcr1000	frac_migrant	pnativ_60	ln_ypc60	ln_yr_sch1960	ln_pd60	ln_urb60	ln_young	ln_mix_het	oecd	fstdistwtd_usa
"Bahamas"	"BHS"	-1.1329259	0.3220895	-2.8134108		4.091006	4.147	4.192422	4.2150474	4.240421	4.27149	4.3204455	0	0	0	1	0	0.1284	0.0	0.0	0.8716	0.0	0.0							0.35265848	-0.35667497		3.1884167			100.00000000000001	0				9.73625		2.4170015	4.089332	3.7467296	-1.087695	0	12.442552
"Bahrain"	"BHR"	-1.1169273	0.3272839			3.9318256	4.01551	4.1568246	4.246701	4.283103	4.3013053	4.317806	0	1	0	0	0	0.0	1.0	0.0	0.0	0.0	0.0	8.933499	7592.5967	4.3647532	19.125345			0.4068841	1.0367368		3.2580965	0.74133986		0	0		0.06404406	0.93595594	8.7653	0.22708532	5.425065	4.4103713	3.7110178	-1.1060562	0	7.8275714
"Bangladesh"	"BGD"	-1.1300751	0.32300898	-0.40289426	3.3978584	3.6000483	3.69539	3.7349505	4.0116124	4.085491	4.17023	4.2288	0	1	0	0	0	0.0	1.0	0.0	0.0	0.0	0.0	8.62121	5560.0	8.280665	68.60893	2.0794415	2.172011	0.04443211	4.128746	-0.2613648	3.1780539	0.71176815	0.1786233	75.03817542532649	0	0.041123502	0.01999998	0.98	6.68085	0.018395416	6.038814	1.6292405	3.7746344	-1.1300751	0	5.391045
"Barbados"	"BRB"	-1.1410776	0.31947455	-1.6194882	3.8918202	4.046554	4.16628	4.226651	4.27631	4.309688	4.322917	4.3382425	0	0	0	1	0	0.03343433	0.0	0.0	0.96656567	0.0	0.0							0.13308054	3.6165776		2.5776885			100	0				8.64717	1.6412594	6.2921677	3.6054978	3.6396046	-1.1046499	0	13.313827
"Belarus"	"BLR"	-1.1342833	0.32165256			4.1881385	4.22452	4.255937	4.2532644	4.2603755	4.232833	4.2542624	1	0	0	0	0	1.0	0.0	0.0	0.0	0.0	0.0	8.423949	4557.5	5.1710763	26.750273		-1.0054749	0.27928492	3.3864222	-0.99425226	3.9702919	0.73525083	0.0	0	0	0.046762697	0.11500001	0.885	8.51719		3.695552	3.4781585	3.3625166	-1.1342833	0	3.9154067
"Belgium"	"BEL"	-1.0585636	0.34695384	-1.8604666	4.1239033	4.2121277	4.25374	4.263895	4.2929854	4.330316	4.3589263	4.3812337	1	0	0	0	0	1.0	0.0	0.0	0.0	0.0	0.0	8.61697	5534.7876	5.8688965	34.477123	2.3025851	2.120625	0.44173273	3.2809112	-0.7765288	3.9285524	0.72998106	0.0	0	0	0.0383926	0.018499494	0.9815005	9.23611	1.9384083		4.527209	3.1562545	-1.0470694	1	3.1448045
"Belize"	"BLZ"	-1.166397	0.31148723	-0.44832042	3.8066626	4.0552573	4.11766	4.1903205	4.250593	4.2834044	4.2977085	4.328625	0	0	0	1	0	0.45979616	0.0	0.0	0.16874292	0.3714609	0.0	8.407985	4900.8765	10.475933	157.4827	1.1229197	0.5455194	0.5315337	1.0331844	-0.56211895	2.8478122	0.6951902	0.1	100	0	0.025455201	0.8678933	0.13210672	7.94272	2.0235448	1.3930993	3.988984	3.819916	-1.070555	0	10.174174
"Benin"	"BEN"	-1.1649737	0.31193087			3.523415	3.70534	3.683618	3.812139	3.8846216	3.962057	4.017924	0	0	1	0	0	0.0	0.0	0.0	1.0	0.0	0.0	8.038867	3099.9	4.0854588	16.816587	0.0	0.09532832	0.5806591	3.0689828	-0.6539265	2.2512918	0.743449	1.0	97.48924860569808	0	0.352174	0.10100001	0.899	7.45298	-0.34856805	2.9219692	2.2300143	3.6477892	-1.1512645	0	14.091902
"Bermuda"	"BMU"	-1.1114053	0.32909617	-3.506558									0	0	0	1	0	0.3828829	0.0	0.0	0.6171171	0.0	0.0								2.9957323		3.4760985			0	0									-1.0554413	0	
"Bhutan"	"BTN"	-1.2412044	0.2890359			3.5610461	3.61325	3.703432	3.83642	3.962519	4.1169896	4.2033315	0	1	0	0	0	0.0	0.0	1.0	0.0	0.0	0.0	8.626513	5580.5	8.032378	64.54252			0.47312376	1.0919234	-2.3025851	3.314186	0.71364313	0.4601328	0	0	0.136476	0.16100001	0.839	6.66696		1.5066838	1.2809339	3.7416854	-1.2412044	0	10.187919
